n,trial,time_ms,comparisons,swaps,arrayGets,arraySets,allocations
100,1,1,1075,616,3482,1332,100
100,2,0,1075,616,3482,1332,100
100,3,0,1075,616,3482,1332,100
1000,1,1,17449,9609,55116,20218,1000
1000,2,0,17449,9609,55116,20218,1000
1000,3,1,17449,9609,55116,20218,1000
10000,1,7,241289,129543,751664,269086,10000
10000,2,5,241289,129543,751664,269086,10000
10000,3,3,241289,129543,751664,269086,10000
